RecipeName,BaseServings,Ingredient,Quantity,Unit,Category,Method
Recipe 30,20,Garlic,361,l,Vegetables,This is the method for recipe 30.
Recipe 30,20,Cheese,322,ml,Vegetables,This is the method for recipe 30.
Recipe 31,20,Garlic,424,kg,Condiments,This is the method for recipe 31.
Recipe 31,20,Spinach,509,l,Dry Goods,This is the method for recipe 31.
Recipe 31,20,Beef,750,tbsp,Condiments,This is the method for recipe 31.
Recipe 32,20,Rice,553,ml,Dairy,This is the method for recipe 32.
Recipe 32,20,Potatoes,259,pcs,Dairy,This is the method for recipe 32.
Recipe 32,20,Lettuce,887,tbsp,Vegetables,This is the method for recipe 32.
Recipe 32,20,Milk,836,ml,Vegetables,This is the method for recipe 32.
Recipe 32,20,Sugar,377,l,Protein,This is the method for recipe 32.
Recipe 33,20,Beef,837,ml,Dairy,This is the method for recipe 33.
Recipe 33,20,Celery,686,kg,Protein,This is the method for recipe 33.
Recipe 33,20,Onions,185,tbsp,Condiments,This is the method for recipe 33.
Recipe 33,20,Sugar,84,kg,Condiments,This is the method for recipe 33.
Recipe 34,20,Beef,387,pcs,Protein,This is the method for recipe 34.
Recipe 34,20,Peppers,307,pcs,Condiments,This is the method for recipe 34.
Recipe 34,20,Celery,66,pcs,Vegetables,This is the method for recipe 34.
Recipe 35,20,Butter,857,kg,Protein,This is the method for recipe 35.
Recipe 35,20,Butter,997,g,Dairy,This is the method for recipe 35.
Recipe 35,20,Sugar,409,tsp,Condiments,This is the method for recipe 35.
Recipe 35,20,Pasta,797,ml,Dairy,This is the method for recipe 35.
Recipe 35,20,Carrots,973,ml,Dairy,This is the method for recipe 35.
Recipe 36,20,Butter,787,tsp,Dry Goods,This is the method for recipe 36.
Recipe 36,20,Butter,416,l,Condiments,This is the method for recipe 36.
Recipe 36,20,Rice,613,tsp,Vegetables,This is the method for recipe 36.
Recipe 37,20,Spinach,944,kg,Protein,This is the method for recipe 37.
Recipe 37,20,Carrots,173,tsp,Protein,This is the method for recipe 37.
Recipe 37,20,Butter,355,ml,Dry Goods,This is the method for recipe 37.
Recipe 38,20,Lettuce,727,g,Protein,This is the method for recipe 38.
Recipe 38,20,Eggs,545,tsp,Condiments,This is the method for recipe 38.
Recipe 38,20,Celery,932,kg,Dairy,This is the method for recipe 38.
Recipe 39,20,Salt,89,tbsp,Condiments,This is the method for recipe 39.
Recipe 39,20,Carrots,412,l,Dairy,This is the method for recipe 39.
Recipe 39,20,Rice,103,l,Protein,This is the method for recipe 39.
Recipe 39,20,Flour,714,tsp,Dry Goods,This is the method for recipe 39.
Recipe 39,20,Spinach,497,kg,Dairy,This is the method for recipe 39.
Recipe 40,20,Eggs,383,pcs,Protein,This is the method for recipe 40.
Recipe 40,20,Tomatoes,455,kg,Vegetables,This is the method for recipe 40.
Recipe 40,20,Chicken,637,l,Vegetables,This is the method for recipe 40.
Recipe 40,20,Lettuce,853,pcs,Dry Goods,This is the method for recipe 40.
Recipe 40,20,Celery,570,l,Vegetables,This is the method for recipe 40.
Recipe 41,20,Flour,699,ml,Condiments,This is the method for recipe 41.
Recipe 41,20,Tomatoes,194,pcs,Condiments,This is the method for recipe 41.
Recipe 41,20,Tomatoes,347,tsp,Dry Goods,This is the method for recipe 41.
Recipe 41,20,Spinach,580,kg,Dairy,This is the method for recipe 41.
Recipe 41,20,Beef,131,ml,Protein,This is the method for recipe 41.
Recipe 42,20,Potatoes,906,ml,Protein,This is the method for recipe 42.
Recipe 42,20,Salt,660,tbsp,Dairy,This is the method for recipe 42.
Recipe 42,20,Eggs,374,ml,Dry Goods,This is the method for recipe 42.
Recipe 42,20,Flour,786,ml,Protein,This is the method for recipe 42.
Recipe 42,20,Beef,973,l,Protein,This is the method for recipe 42.
Recipe 42,20,Butter,930,tsp,Vegetables,This is the method for recipe 42.
Recipe 43,20,Eggs,587,pcs,Condiments,This is the method for recipe 43.
Recipe 43,20,Peppers,250,pcs,Dry Goods,This is the method for recipe 43.
Recipe 43,20,Celery,727,g,Vegetables,This is the method for recipe 43.
Recipe 43,20,Flour,556,l,Dry Goods,This is the method for recipe 43.
Recipe 43,20,Cheese,469,tsp,Dairy,This is the method for recipe 43.
Recipe 44,20,Garlic,187,tbsp,Dairy,This is the method for recipe 44.
Recipe 44,20,Flour,539,ml,Protein,This is the method for recipe 44.
Recipe 44,20,Milk,776,g,Dairy,This is the method for recipe 44.
Recipe 45,20,Salt,150,ml,Vegetables,This is the method for recipe 45.
Recipe 45,20,Cheese,632,ml,Dry Goods,This is the method for recipe 45.
Recipe 45,20,Garlic,280,tbsp,Dry Goods,This is the method for recipe 45.
Recipe 46,20,Cheese,740,ml,Vegetables,This is the method for recipe 46.
Recipe 46,20,Flour,565,pcs,Condiments,This is the method for recipe 46.
Recipe 46,20,Pasta,832,ml,Condiments,This is the method for recipe 46.
Recipe 46,20,Milk,230,kg,Protein,This is the method for recipe 46.
Recipe 47,20,Cheese,886,pcs,Condiments,This is the method for recipe 47.
Recipe 47,20,Salt,798,g,Vegetables,This is the method for recipe 47.
Recipe 47,20,Salt,801,l,Vegetables,This is the method for recipe 47.
Recipe 47,20,Pasta,382,g,Protein,This is the method for recipe 47.
Recipe 48,20,Eggs,498,tsp,Dairy,This is the method for recipe 48.
Recipe 48,20,Flour,402,l,Dry Goods,This is the method for recipe 48.
Recipe 48,20,Chicken,661,g,Dry Goods,This is the method for recipe 48.
Recipe 49,20,Peppers,277,ml,Dry Goods,This is the method for recipe 49.
Recipe 49,20,Tomatoes,988,g,Protein,This is the method for recipe 49.
Recipe 49,20,Beef,211,l,Dairy,This is the method for recipe 49.
Recipe 49,20,Flour,987,ml,Dairy,This is the method for recipe 49.
Recipe 50,20,Lettuce,355,l,Vegetables,This is the method for recipe 50.
Recipe 50,20,Sugar,967,ml,Condiments,This is the method for recipe 50.
Recipe 50,20,Sugar,400,g,Dairy,This is the method for recipe 50.
Recipe 50,20,Garlic,271,ml,Protein,This is the method for recipe 50.
Recipe 50,20,Spinach,590,tbsp,Dry Goods,This is the method for recipe 50.
